(0)x:6.481878, y:13.553827, z:-3.110000
(1)x:6.476513, y:13.539713, z:-3.105000
(2)x:6.470925, y:13.525620, z:-3.127500
(3)x:6.465966, y:13.512965, z:-3.240000
(4)x:6.460380, y:13.498836, z:-3.467500
(5)x:6.455375, y:13.486272, z:-3.012500
(6)x:6.449823, y:13.472079, z:-2.925000
(7)x:6.443975, y:13.457993, z:-2.860000
(8)x:6.439031, y:13.445749, z:-2.840000
(9)x:6.433177, y:13.431702, z:-3.327500
(10)x:6.428195, y:13.419502, z:-3.527500
(11)x:6.422397, y:13.405437, z:-3.482500
(12)x:6.417433, y:13.393126, z:-2.920000
(13)x:6.411930, y:13.378528, z:-3.527500
(14)x:6.406924, y:13.366176, z:-3.555000
(15)x:6.401229, y:13.351959, z:-3.532500
(16)x:6.396176, y:13.339778, z:-2.772500
(17)x:6.390887, y:13.324887, z:-2.747500
(18)x:6.386822, y:13.311433, z:-3.515000
(19)x:6.381714, y:13.296149, z:-3.552500
(20)x:6.376092, y:13.280653, z:-3.337500
(21)x:6.371307, y:13.269255, z:-2.757500
(22)x:6.365420, y:13.254451, z:-3.185000
(23)x:6.360609, y:13.242493, z:-3.185000
(24)x:6.354764, y:13.227895, z:-3.147500
(25)x:6.349884, y:13.215886, z:-3.145000
(26)x:6.344375, y:13.202380, z:-2.610000
(27)x:6.339111, y:13.189583, z:-2.762500
(28)x:6.332860, y:13.175662, z:-2.697500
(29)x:6.327562, y:13.162836, z:-2.830000
(30)x:6.321715, y:13.149826, z:-2.602500
(31)x:6.316429, y:13.136916, z:-2.602500
(32)x:6.310322, y:13.124500, z:-2.735000
(33)x:6.304468, y:13.113698, z:-2.735000
(34)x:6.298061, y:13.101518, z:-2.670000
(35)x:6.292580, y:13.089935, z:-2.440000
(36)x:6.286639, y:13.076410, z:-2.580000
(37)x:6.281481, y:13.064091, z:-2.580000
(38)x:6.275573, y:13.050552, z:-2.517500
(39)x:6.269742, y:13.036702, z:-2.522500
(40)x:6.264547, y:13.024747, z:-2.525000
(41)x:6.259056, y:13.010199, z:-2.512500
(42)x:6.253827, y:12.998157, z:-2.500000
(43)x:6.248024, y:12.984361, z:-2.507500
(44)x:6.242808, y:12.972226, z:-2.485000
(45)x:6.237067, y:12.958353, z:-2.302500
(46)x:6.231865, y:12.946161, z:-2.302500
(47)x:6.226033, y:12.932462, z:-2.267500
(48)x:6.220845, y:12.920610, z:-2.272500
(49)x:6.214957, y:12.906665, z:-2.270000
(50)x:6.209760, y:12.894466, z:-2.252500
(51)x:6.203909, y:12.880820, z:-2.317500
(52)x:6.198731, y:12.868600, z:-2.287500
(53)x:6.192834, y:12.854974, z:-2.275000
(54)x:6.187627, y:12.842830, z:-2.262500
(55)x:6.181768, y:12.829123, z:-2.197500
(56)x:6.176311, y:12.817560, z:-2.185000
(57)x:6.170495, y:12.803743, z:-2.150000
(58)x:6.164759, y:12.790282, z:-2.130000
(59)x:6.159410, y:12.777927, z:-2.020000
(60)x:6.153614, y:12.764566, z:-1.985000
(61)x:6.148361, y:12.752052, z:-1.980000
(62)x:6.142616, y:12.738582, z:-2.040000
(63)x:6.137338, y:12.726196, z:-2.080000
(64)x:6.131616, y:12.712577, z:-2.072500
(65)x:6.126379, y:12.700121, z:-2.015000
(66)x:6.120678, y:12.686468, z:-1.985000
(67)x:6.115363, y:12.674153, z:-1.940000
(68)x:6.109610, y:12.660593, z:-1.885000
(69)x:6.104395, y:12.648167, z:-1.870000
(70)x:6.098671, y:12.634473, z:-1.845000
(71)x:6.093412, y:12.622224, z:-1.860000
(72)x:6.087573, y:12.608718, z:-1.867500
(73)x:6.082346, y:12.596367, z:-1.862500
(74)x:6.076598, y:12.582693, z:-1.825000
(75)x:6.071368, y:12.570264, z:-1.842500
(76)x:6.065532, y:12.556890, z:-1.775000
(77)x:6.059845, y:12.543715, z:-1.742500
(78)x:6.054425, y:12.531160, z:-1.707500
(79)x:6.048711, y:12.518095, z:-1.705000
(80)x:6.043225, y:12.505613, z:-1.670000
(81)x:6.037459, y:12.492697, z:-1.652500
(82)x:6.032008, y:12.480101, z:-1.605000
(83)x:6.026313, y:12.467146, z:-1.670000
(84)x:5.997952, y:12.404335, z:-1.392500
(85)x:5.992270, y:12.391700, z:-1.435000
